,city,country,latitude,longitude,name,postalCode,state
360,Sioux Center,US,43,-96,McDonald's,51250,IA
361,Twin Falls,US,42,-114,McDonald's,83301,ID
362,Twin Falls,US,42,-114,Pizza Hut,83301,ID
363,Twin Falls,US,42,-114,McDonald's,83301,ID
364,Independence,US,42,-91,Burger King,50644,IA
365,Independence,US,42,-91,McDonald's,50644,IA
366,Swansboro,US,34,-77,Quiznos,28584,NC
367,Blackfoot,US,43,-112,Arby's,83221,ID
368,Blackfoot,US,43,-112,Burger King,83221,ID
369,Leland,US,34,-78,Arby's,28451,NC
370,Taylorville,US,39,-89,Wendy's,62568,IL
371,Taylorville,US,39,-89,Taco Bell,62568,IL
372,Taylorville,US,39,-89,KFC,62568,IL
373,Paw Paw,US,42,-85,Arby's,49079,MI
374,Wilmington,US,34,-77,Burger King,28405,NC
375,Wilmington,US,34,-77,Burger King,28403,NC
376,Bourbonnais,US,41,-87,McDonalds,60914,IL
377,Holly Ridge,US,34,-77,Hardee's,28445,NC
378,Carolina Beach,US,34,-77,McDonald's,28428,NC
379,Leland,US,34,-77,Bojangles' Famous Chicken 'n Biscuits,28451,NC
380,Leland,US,34,-77,KFC,28451,NC
381,Springfield,US,39,-89,McDonald's,62702,IL
382,Osceola,US,41,-93,Taco Bell,50213,IA
383,Tipton,US,41,-91,Subway,52772,IA
384,Tipton,US,41,-91,Hardee's,52772,IA
385,Fort Mill,US,35,-80,McDonalds,29708,SC
386,Rigby,US,43,-111,Wendy's,83442,ID
387,Idaho Falls,US,43,-111,Taco Bell,83404,ID
388,Idaho Falls,US,43,-111,Jack in the Box,83401,ID
389,Pocatello,US,42,-112,Jack in the Box,83201,ID
390,Pocatello,US,42,-112,Jimmy John's,83201,ID
391,Pocatello,US,42,-112,Subway,83201,ID
392,Pocatello,US,42,-112,Arby's,83201,ID
393,Pocatello,US,42,-112,Wendy's,83201,ID
394,Anna,US,37,-89,Burger King,62906,IL
395,Anna,US,37,-89,Hardee's,62906,IL
396,Anna,US,37,-89,Taco Bell,62906,IL
397,Rexburg,US,43,-111,KFC,83440,ID
398,Rexburg,US,43,-111,Wendy's,83440,ID
399,Rexburg,US,43,-111,Jack in the Box,83440,ID
400,Rexburg,US,43,-111,McDonald's,83440,ID
401,Rexburg,US,43,-111,Dairy Queen,83440,ID
402,Rexburg,US,43,-111,Arby's,83440,ID
403,Canton,US,40,-90,Burger King,61520,IL
404,Canton,US,40,-90,Hardee's,61520,IL
405,Centralia,US,38,-89,McDonald's,62801,IL
406,Pontiac,US,40,-88,Burger King,61764,IL
407,Pontiac,US,40,-88,Taco Bell,61764,IL
408,Carbondale,US,37,-89,McDonald's,62901,IL
409,Mount Vernon,US,38,-88,Burger King,62864,IL
410,Mount Vernon,US,38,-88,Burger King,62864,IL
411,Paducah,US,37,-88,Taco Bell,42001,KY
412,Ottawa,US,41,-88,Wendy's,61350,IL
413,Paducah,US,37,-88,Wendy's,42001,KY
414,Rochelle,US,41,-89,Wendy's,61068-9699,IL
415,Jacksonville,US,39,-90,Jimmy John's,62650,IL
416,Jacksonville,US,39,-90,Burger King,62650,IL
417,Macomb,US,40,-90,Arby's,61455,IL
418,Danville,US,40,-87,McDonald's,61832,IL
419,Danville,US,40,-87,Hardee's,61832,IL
420,Danville,US,40,-87,Long John Silver's,61832,IL
421,Vincennes,US,38,-87,Arby's,47591,IN
422,Decatur,US,40,-84,Taco Bell,46733,IN
423,Decatur,US,40,-84,Arby's,46733,IN
424,Pittsfield,US,39,-90,Hardee's,62363,IL
425,Auburn,US,41,-85,Penguin Point,46706,IN
426,Kendallville,US,41,-85,Arby's,46755,IN
427,Kendallville,US,41,-85,Wendy's,46755,IN
428,Kendallville,US,41,-85,Burger King,46755,IN
429,Kendallville,US,41,-85,McDonald's,46755,IN
430,Ligonier,US,41,-85,KFC,46767,IN
431,Columbia City,US,41,-85,Taco Bell,46725,IN
432,Litchfield,US,39,-89,KFC,62056,IL
433,Scottsburg,US,38,-85,Wendy's,47170,IN
434,Litchfield,US,39,-89,Wendy's,62056,IL
435,Litchfield,US,39,-89,McDonald's,62056,IL
436,Litchfield,US,39,-89,Taco Bell,62056,IL
437,Litchfield,US,39,-89,Jack In The Box,62056,IL
438,Litchfield,US,39,-89,Burger King,62056,IL
439,Marshall,US,39,-87,Burger King,62441,IL
440,West Lafayette,US,40,-86,Burger King,47906,IN
441,Bedford,US,38,-86,Wendy's,47421,IN
442,Bedford,US,38,-86,Arby's,47421,IN
443,Angola,US,41,-84,Burger King,46703,IN
444,Bedford,US,38,-86,Burger King,47421,IN
445,West Lafayette,US,40,-86,McDonald's,47906,IN
446,West Lafayette,US,40,-86,McDonald's,47906,IN
447,Decatur,US,40,-84,Wendy's,46733,IN
448,Decatur,US,40,-84,McDonald's,46733,IN
449,Decatur,US,40,-84,Burger King,46733,IN
450,Auburn,US,41,-85,Wendy's,46706,IN
451,Auburn,US,41,-85,Arby's,46706,IN
452,Auburn,US,41,-85,Taco Bell,46706,IN
453,Auburn,US,41,-85,Burger King,46706,IN
454,Greensburg,US,39,-85,Wendy's,47240,IN
455,Greensburg,US,39,-85,Arby's,47240,IN
456,Greensburg,US,39,-85,McDonald's,47240,IN
457,Marion,US,40,-85,Arby's,46952,IN
458,Greensburg,US,39,-85,Taco Bell,47240,IN
459,Greensburg,US,39,-85,Burger King,47240,IN
460,Muncie,US,40,-85,Wendy's,47303,IN
461,Muncie,US,40,-85,Taco Bell,47304,IN
462,Muncie,US,40,-85,McDonald's,47304,IN
463,Muncie,US,40,-85,KFC,47304-4449,IN
464,Muncie,US,40,-85,Chick-fil-A,47303,IN
465,Elkhart,US,41,-85,Burger King,46517,IN
466,South Bend,US,41,-86,McDonald's,46601,IN
467,Dowagiac,US,41,-86,McDonald's,49047,MI
469,Knightstown,US,39,-85,Burger King,46148,IN
470,Sparta,US,38,-89,Taco Bell,62286,IL
471,Washington,US,38,-87,Taco Bell,47501,IN
472,Washington,US,38,-87,Wendy's,47501,IN
473,Washington,US,38,-87,KFC,47501,IN
475,Hartford City,US,40,-85,KFC,47348,IN
476,Hartford City,US,40,-85,McDonald's,47348,IN
477,Hartford City,US,40,-85,Burger King,47348,IN
478,Jasper,US,38,-86,McDonald's,47546,IN
479,Jasper,US,38,-86,Hardee's,47546,IN
480,Jasper,US,38,-86,McDonald's,47546,IN
481,Jasper,US,38,-86,Taco Bell,47546,IN
482,Jasper,US,38,-86,Arby's,47546,IN
483,Jasper,US,38,-86,Wendy's,47546,IN
484,Huntingburg,US,38,-86,Wendy's,47542,IN
485,Knox,US,41,-86,Taco Bell,46534,IN
486,Knox,US,41,-86,Burger King,46534,IN
487,Knox,US,41,-86,McDonald's,46534,IN
488,Kokomo,US,40,-86,McDonald's,46902,IN
489,Huntington,US,40,-85,Wendy's,46750,IN
490,Huntington,US,40,-85,Arby's,46750,IN
491,Huntington,US,40,-85,Taco Bell,46750,IN
492,Huntington,US,40,-85,KFC,46750,IN
493,Richmond,US,39,-84,SUBWAY,47374,IN
494,Richmond,US,39,-84,McDonald's,47374,IN
495,Richmond,US,39,-84,McDonald's,47374,IN
496,Madison,US,38,-85,McDonald's,47250,IN
497,Madison,US,38,-85,Taco Bell,47250,IN
498,Madison,US,38,-85,KFC,47250,IN
499,Madison,US,38,-85,Arby's,47250,IN
500,Terre Haute,US,39,-87,McDonald's,47805,IN
501,Columbus,US,39,-85,Chick-Fil-A,47201,IN
502,Michigan City,US,41,-86,Rally's,46360,IN
503,Michigan City,US,41,-86,McDonald's,46360,IN
504,Michigan City,US,41,-86,KFC,46360,IN
505,Vandalia,US,38,-89,Burger King,62471,IL
506,Vandalia,US,38,-89,Wendy's,62471,IL
507,Vandalia,US,38,-89,KFC,62471,IL
508,Vandalia,US,38,-89,McDonald's,62471,IL
509,North Vernon,US,39,-85,Arby's,47265,IN
510,Owensboro,US,37,-87,McDonalds,42301,KY
511,Owensboro,US,37,-87,Arby's,42301,KY
512,Norristown,US,40,-75,Arby's,19401,PA
513,O Fallon,US,38,-90,Subway,63368,MO
514,O Fallon,US,38,-90,Subway,63368,MO
515,O Fallon,US,38,-90,Wendy's,63366,MO
