Latitude,Longitude,Location,Municipality,Crash Type,Year,Crash Count
49.269061,-123.211945,TOLMIE ST & W 4TH AVE,VANCOUVER,Casualty,2016,1
49.269125,-123.159823,BALSAM ST & W 3RD AVE,VANCOUVER,Casualty,2016,1
49.269246,-123.104652,E 2ND AVE & ONTARIO ST & W 2ND AVE,VANCOUVER,Casualty,2016,8
49.269367,-123.038945,E 1ST AVE & LILLOOET ST,VANCOUVER,Casualty,2016,14
49.269462,-123.023568,1ST AVE & BOUNDARY RD & E 1ST AVE,VANCOUVER,Casualty,2016,19
49.269481,-123.056605,E 1ST AVE & NANAIMO ST,VANCOUVER,Casualty,2016,35
49.26956,-123.06772,E 1ST AVE & SALSBURY DR,VANCOUVER,Casualty,2016,2
49.26956,-123.065769,E 1ST AVE & VICTORIA DR,VANCOUVER,Casualty,2016,23
49.269601,-123.071574,COTTON DR & E 1ST AVE,VANCOUVER,Casualty,2016,6
49.269622,-123.07349,E 1ST AVE & WOODLAND DR,VANCOUVER,Casualty,2016,17
49.269634,-123.075422,E 1ST AVE & MCLEAN DR,VANCOUVER,Casualty,2016,6
49.269879,-123.081408,GLEN DR & TERMINAL AVE,VANCOUVER,Casualty,2016,1
49.269901,-123.152702,ARBUTUS ST & W 2ND AVE,VANCOUVER,Casualty,2016,2
49.269938,-123.155074,W 2ND AVE & YEW ST,VANCOUVER,Casualty,2016,1
49.270128,-123.100736,E 1ST AVE & MAIN ST,VANCOUVER,Casualty,2016,13
49.270157,-123.102714,E 1ST AVE & QUEBEC ST,VANCOUVER,Casualty,2016,9
49.270163,-123.104627,E 1ST AVE & ONTARIO ST & W 1ST AVE,VANCOUVER,Casualty,2016,3
49.270289,-123.023569,BOUNDARY RD & GRAVELEY ST,VANCOUVER,Casualty,2016,4
49.270302,-123.109404,COLUMBIA ST & W 1ST AVE,VANCOUVER,Casualty,2016,1
49.270405,-123.056597,GRAVELEY ST & NANAIMO ST,VANCOUVER,Casualty,2016,1
49.270564,-123.077353,CLARK DR & GRAVELEY ST,VANCOUVER,Casualty,2016,1
49.27086,-123.157415,VINE ST & W 1ST AVE,VANCOUVER,Casualty,2016,1
49.271201,-123.023561,BOUNDARY RD & GRANT ST,VANCOUVER,Casualty,2016,1
49.271242,-123.175628,POINT GREY RD & TRUTCH ST & W 1ST AVE,VANCOUVER,Casualty,2016,1
49.271537,-123.100362,CENTRAL ST & MAIN ST,VANCOUVER,Casualty,2016,2
49.271672,-123.093346,TERMINAL AVE & THORNTON ST,VANCOUVER,Casualty,2016,4
49.271694,-123.202684,DISCOVERY ST & NW MARINE DR,VANCOUVER,Casualty,2016,1
49.272115,-123.023549,BOUNDARY RD & KITCHENER ST,VANCOUVER,Casualty,2016,4
49.272475,-123.147806,CORNWALL AVE & CYPRESS ST,VANCOUVER,Casualty,2016,6
49.272494,-123.148977,CORNWALL AVE & WALNUT ST,VANCOUVER,Casualty,2016,3
49.272694,-123.162103,CORNWALL AVE & LARCH ST,VANCOUVER,Casualty,2016,1
49.272815,-123.100019,MAIN ST & TERMINAL AVE,VANCOUVER,Casualty,2016,44
49.273046,-123.073434,CHARLES ST & WOODLAND DR,VANCOUVER,Casualty,2016,1
49.273108,-123.125875,HOMER ST & PACIFIC BLVD & PACIFIC ST,VANCOUVER,Casualty,2016,4
49.273126,-123.119925,DAVIE ST & MARINASIDE CRES,VANCOUVER,Casualty,2016,1
49.27315,-123.082755,MALKIN AVE & RAYMUR AVE,VANCOUVER,Casualty,2016,2
49.273934,-123.067604,SALSBURY DR & WILLIAM ST,VANCOUVER,Casualty,2016,2
49.274018,-123.075915,ODLUM DR & WILLIAM ST,VANCOUVER,Casualty,2016,1
49.274047,-123.121365,DAVIE ST & PACIFIC BLVD,VANCOUVER,Casualty,2016,16
49.27408,-123.130771,BEACH AVE & BEACH CRES & GRANVILLE BRIDGE & ROLSTON ST & SEYMOUR ST OFFRAMP,VANCOUVER,Casualty,2016,1
49.274142,-123.049388,SLOCAN ST & WILLIAM ST,VANCOUVER,Casualty,2016,1
49.274156,-123.115036,MARINASIDE CRES & NELSON ST & PACIFIC BLVD,VANCOUVER,Casualty,2016,3
49.274524,-123.122136,DAVIE ST & MAINLAND ST,VANCOUVER,Casualty,2016,5
49.27473,-123.131812,BEACH AVE & HOWE ST,VANCOUVER,Casualty,2016,1
49.274853,-123.067585,NAPIER ST & SALSBURY DR,VANCOUVER,Casualty,2016,1
49.27487,-123.056575,NANAIMO ST & NAPIER ST,VANCOUVER,Casualty,2016,2
49.274948,-123.101941,NATIONAL AVE & QUEBEC ST,VANCOUVER,Casualty,2016,6
49.275047,-123.129408,CONTINENTAL ST & GRANVILLE BRIDGE & HOWE ST & HOWE ST ONRAMP & PACIFIC ST & PACIFIC ST OFFRAMP & PACIFIC ST ONRAMP & SEYMOUR ST & SEYMOUR ST OFFRAMP,VANCOUVER,Casualty,2016,12
49.275246,-123.123273,DAVIE ST & HOMER ST,VANCOUVER,Casualty,2016,4
49.275452,-123.126773,DRAKE ST & SEYMOUR ST,VANCOUVER,Casualty,2016,4
49.275797,-123.033608,PARKER ST & RUPERT ST,VANCOUVER,Casualty,2016,1
49.275857,-123.081404,GLEN DR & PARKER ST,VANCOUVER,Casualty,2016,1
49.276081,-123.102073,MILROSS AVE & QUEBEC ST,VANCOUVER,Casualty,2016,1
49.276097,-123.127762,DRAKE ST & GRANVILLE ST,VANCOUVER,Casualty,2016,10
49.276325,-123.134146,BEACH AVE & BURRARD ST BRIDGE,VANCOUVER,Casualty,2016,4
49.276432,-123.038883,LILLOOET ST & VENABLES ST,VANCOUVER,Casualty,2016,2
49.242547,-123.023688,BOUNDARY RD & MOSCROP ST,VANCOUVER,Casualty,2016,4
49.232812,-123.05548,CLARENDON ST & E 41ST AVE,VANCOUVER,PDO,2019,30
49.232831,-123.057865,BERKELEY ST & E 41ST AVE,VANCOUVER,PDO,2019,2
49.232838,-123.162801,LARCH ST & W 43RD AVE,VANCOUVER,PDO,2019,1
49.23284,-123.084835,E 41ST AVE & WINDSOR ST,VANCOUVER,PDO,2019,6
49.232864,-123.086917,E 41ST AVE & ST CATHERINES ST,VANCOUVER,PDO,2019,1
49.232936,-123.094559,E 41ST AVE & ST GEORGE ST,VANCOUVER,PDO,2019,1
49.232947,-123.044505,COLLEGE ST & E 41ST AVE,VANCOUVER,PDO,2019,1
49.23306,-123.101517,E 41ST AVE & MAIN ST,VANCOUVER,PDO,2019,35
49.233198,-123.192311,HOLLAND ST & SW MARINE DR,VANCOUVER,PDO,2019,3
49.233488,-123.11345,ALBERTA ST & W 41ST AVE,VANCOUVER,PDO,2019,7
49.23354,-123.116194,CAMBIE ST & W 41ST AVE,VANCOUVER,PDO,2019,90
49.233812,-123.123875,W 41ST AVE & WILLOW ST,VANCOUVER,PDO,2019,13
49.233869,-123.050177,E 40TH AVE & RHODES ST,VANCOUVER,PDO,2019,1
49.233909,-123.062117,E 40TH AVE & GLADSTONE ST,VANCOUVER,PDO,2019,1
49.23392,-123.065468,E 40TH AVE & VICTORIA DR,VANCOUVER,PDO,2019,6
49.233947,-123.128076,OAK ST & W 41ST AVE,VANCOUVER,PDO,2019,64
49.234047,-123.048781,E 40TH AVE & EARLES ST,VANCOUVER,PDO,2019,1
49.23405,-123.045905,E 40TH AVE & KILLARNEY ST,VANCOUVER,PDO,2019,1
49.234127,-123.024822,FOSTER AVE & ORMIDALE ST,VANCOUVER,PDO,2019,2
49.234129,-123.027008,FOSTER AVE & OBEN ST,VANCOUVER,PDO,2019,1
49.234129,-123.02592,FOSTER AVE & LINCOLN ST,VANCOUVER,PDO,2019,1
49.234143,-123.035895,JOYCE ST & KINGSWAY,VANCOUVER,PDO,2019,60
49.234174,-123.134825,HUDSON ST & W 41ST AVE,VANCOUVER,PDO,2019,1
49.234392,-123.143334,ADERA ST & W 41ST AVE,VANCOUVER,PDO,2019,1
49.234467,-123.116043,CAMBIE ST & W 40TH AVE,VANCOUVER,PDO,2019,4
49.234485,-123.149229,CYPRESS ST & W 41ST AVE,VANCOUVER,PDO,2019,2
49.234581,-123.155314,ARBUTUS GREENWAY & W 41ST AVE,VANCOUVER,PDO,2019,1
49.234583,-123.155541,W 41ST AVE & WEST BOULEVARD,VANCOUVER,PDO,2019,24
49.234623,-123.036889,CECIL ST & KINGSWAY,VANCOUVER,PDO,2019,1
49.234628,-123.158501,W 41ST AVE & YEW ST,VANCOUVER,PDO,2019,21
49.234702,-123.164156,ELM ST & W 41ST AVE,VANCOUVER,PDO,2019,1
49.234734,-123.173066,CARNARVON ST & W 41ST AVE,VANCOUVER,PDO,2019,4
49.234744,-123.028142,ABERDEEN ST & EUCLID AVE,VANCOUVER,PDO,2019,1
49.234763,-123.182031,COLLINGWOOD ST & W 41ST AVE,VANCOUVER,PDO,2019,3
49.234768,-123.185324,DUNBAR ST & W 41ST AVE,VANCOUVER,PDO,2019,25
49.234768,-123.090529,E 39TH AVE & FRASER ST,VANCOUVER,PDO,2019,3
49.234772,-123.193723,CROWN ST & W 41ST AVE,VANCOUVER,PDO,2019,3
49.234777,-123.19622,CAMOSUN ST & SW MARINE DR & W 41ST AVE & TURNING LANE,VANCOUVER,PDO,2019,10
49.234777,-123.075586,E 39TH AVE & LANARK ST,VANCOUVER,PDO,2019,1
49.234871,-123.055511,CLARENDON ST & E 39TH AVE,VANCOUVER,PDO,2019,1
49.234918,-123.023635,BOUNDARY RD & VANNESS AVE,VANCOUVER,PDO,2019,10
49.235364,-123.139588,GRANVILLE ST & W 40TH AVE,VANCOUVER,PDO,2019,11
49.235398,-123.027894,ABERDEEN ST & CROWLEY DR,VANCOUVER,PDO,2019,1
49.235592,-123.158509,W 40TH AVE & YEW ST,VANCOUVER,PDO,2019,1
49.235641,-123.039546,KERR ST & KINGSWAY & TAUNTON ST,VANCOUVER,PDO,2019,2
49.235789,-123.034256,ARCHIMEDES ST & JOYCE ST,VANCOUVER,PDO,2019,1
49.235884,-123.058781,E 38TH AVE & NANAIMO ST,VANCOUVER,PDO,2019,2
49.23589,-123.05425,E 38TH AVE & SLOCAN ST,VANCOUVER,PDO,2019,1
49.235903,-123.055493,CLARENDON ST & E 38TH AVE,VANCOUVER,PDO,2019,1
49.235922,-123.065471,E 38TH AVE & VICTORIA DR,VANCOUVER,PDO,2019,5
49.236302,-123.116109,CAMBIE ST & W 38TH AVE,VANCOUVER,PDO,2019,2
49.236424,-123.033627,EUCLID AVE & JOYCE ST,VANCOUVER,PDO,2019,10
49.236433,-123.155513,W 39TH AVE & WEST BOULEVARD,VANCOUVER,PDO,2019,4
49.236537,-123.162673,LARCH ST & W 39TH AVE,VANCOUVER,PDO,2019,1
49.236597,-123.170259,MACKENZIE ST & W 39TH AVE,VANCOUVER,PDO,2019,1
49.236617,-123.12377,W 38TH AVE & WILLOW ST,VANCOUVER,PDO,2019,1
49.236749,-123.127979,OAK ST & W 38TH AVE,VANCOUVER,PDO,2019,4
49.236835,-123.076912,E 37TH AVE & KNIGHT ST,VANCOUVER,PDO,2019,10
49.236841,-123.140694,CHURCHILL ST & CONNAUGHT DR,VANCOUVER,PDO,2019,1
49.236956,-123.134728,HUDSON ST & W 38TH AVE,VANCOUVER,PDO,2019,1
49.237121,-123.13951,GRANVILLE ST & W 38TH AVE,VANCOUVER,PDO,2019,3
49.237175,-123.097037,E 37TH AVE & PRINCE EDWARD ST,VANCOUVER,PDO,2019,1
49.23726,-123.101631,E 37TH AVE & MAIN ST,VANCOUVER,PDO,2019,2
49.237264,-123.116045,CAMBIE ST & W 37TH AVE,VANCOUVER,PDO,2019,9
49.237355,-123.040967,HORLEY ST & RUPERT ST,VANCOUVER,PDO,2019,5
49.237472,-123.032577,CROWLEY DR & JOYCE ST,VANCOUVER,PDO,2019,7
49.237662,-123.185257,DUNBAR ST & W 38TH AVE,VANCOUVER,PDO,2019,1
49.237682,-123.076879,E 36TH AVE & KNIGHT ST,VANCOUVER,PDO,2019,3
49.23776,-123.023496,BOUNDARY RD & WELLINGTON AVE,VANCOUVER,PDO,2019,2
49.238008,-123.094997,E 36TH AVE & ST GEORGE ST,VANCOUVER,PDO,2019,1
49.238082,-123.142029,CONNAUGHT DR & W 37TH AVE,VANCOUVER,PDO,2019,2
49.287173,-123.11696,BURRARD ST & W HASTINGS ST,VANCOUVER,Casualty,2017,1
49.236051,-123.044384,BURSILL ST & COLLEGE ST & KINGSWAY & SCHOOL AVE,VANCOUVER,Casualty,2017,1
49.23798,-123.042435,BURSILL ST & HORLEY ST,VANCOUVER,Casualty,2017,1
49.211063,-123.095348,BUSCOMBE ST & SE MARINE DR,VANCOUVER,Casualty,2017,1
49.283888,-123.130197,BUTE ST & NELSON ST,VANCOUVER,Casualty,2017,1
49.282527,-123.132325,BUTE ST & PENDRELL ST,VANCOUVER,Casualty,2017,1
49.266629,-123.114844,CAMBIE ST & CAMBIE ST BRIDGE & W 2ND AVE & W 2ND AVE OFFRAMP & W 6TH AVE & TURNING LANE,VANCOUVER,Casualty,2017,1
49.240397,-123.118341,CAMBIE ST & MCGUIGAN AVE,VANCOUVER,Casualty,2017,1
49.258738,-123.115022,CAMBIE ST & W 14TH AVE,VANCOUVER,Casualty,2017,1
49.252092,-123.115273,CAMBIE ST & W 21ST AVE,VANCOUVER,Casualty,2017,1
49.250095,-123.11536,CAMBIE ST & W 23RD AVE & W 24TH AVE,VANCOUVER,Casualty,2017,1
49.247959,-123.115236,CAMBIE ST & W 26TH AVE,VANCOUVER,Casualty,2017,1
49.247029,-123.115486,CAMBIE ST & W 27TH AVE,VANCOUVER,Casualty,2017,1
49.236302,-123.116109,CAMBIE ST & W 38TH AVE,VANCOUVER,Casualty,2017,1
49.234467,-123.116043,CAMBIE ST & W 40TH AVE,VANCOUVER,Casualty,2017,1
49.225191,-123.116563,CAMBIE ST & W 50TH AVE,VANCOUVER,Casualty,2017,1
49.214122,-123.117111,CAMBIE ST & W 62ND AVE,VANCOUVER,Casualty,2017,1
49.211423,-123.117229,CAMBIE ST & W 65TH AVE,VANCOUVER,Casualty,2017,1
49.283537,-123.109152,CAMBIE ST & W CORDOVA ST,VANCOUVER,Casualty,2017,1
49.268134,-123.115019,CAMBIE ST BRIDGE & TURNING LANE,VANCOUVER,Casualty,2017,1
49.286716,-123.044061,CAMBRIDGE ST & MILLER DR & N RENFREW ST,VANCOUVER,Casualty,2017,1
49.286695,-123.028311,CAMBRIDGE ST & N SKEENA ST,VANCOUVER,Casualty,2017,1
49.278299,-123.084919,CAMPBELL AVE & E GEORGIA ST,VANCOUVER,Casualty,2017,1
49.286612,-123.136536,CARDERO ST & COMOX ST,VANCOUVER,Casualty,2017,1
49.287297,-123.135466,CARDERO ST & NELSON ST,VANCOUVER,Casualty,2017,1
49.285932,-123.137571,CARDERO ST & PENDRELL ST,VANCOUVER,Casualty,2017,1
49.261448,-123.172153,CARNARVON ST & W 12TH AVE,VANCOUVER,Casualty,2017,1
49.257812,-123.172276,CARNARVON ST & W 16TH AVE,VANCOUVER,Casualty,2017,1
49.238546,-123.17302,CARNARVON ST & W 37TH AVE,VANCOUVER,Casualty,2017,1
49.264141,-123.172058,CARNARVON ST & W BROADWAY,VANCOUVER,Casualty,2017,1
49.259748,-123.091087,CAROLINA ST & E 12TH AVE,VANCOUVER,Casualty,2017,1
49.249236,-123.092117,CAROLINA ST & E 24TH AVE,VANCOUVER,Casualty,2017,1
49.266161,-123.091005,CAROLINA ST & E 5TH AVE,VANCOUVER,Casualty,2017,1
49.265252,-123.091007,CAROLINA ST & E 6TH AVE,VANCOUVER,Casualty,2017,1
49.264346,-123.091042,CAROLINA ST & E 7TH AVE,VANCOUVER,Casualty,2017,1
49.266785,-123.090802,CAROLINA ST & GREAT NORTHERN WAY,VANCOUVER,Casualty,2017,1
49.279226,-123.104464,CARRALL ST & KEEFER PL & KEEFER ST,VANCOUVER,Casualty,2017,1
49.22688,-123.137452,CARTIER ST & W 49TH AVE,VANCOUVER,Casualty,2017,1
49.269513,-123.131869,CARTWRIGHT ST & JOHNSTON ST,VANCOUVER,Casualty,2017,1
49.270109,-123.135158,CARTWRIGHT ST & OLD BRIDGE ST,VANCOUVER,Casualty,2017,1
49.234623,-123.036889,CECIL ST & KINGSWAY,VANCOUVER,Casualty,2017,1
49.248505,-123.074945,CEDAR COTTAGE MEWS & E KING EDWARD AVE,VANCOUVER,Casualty,2017,1
49.21887,-123.026633,CELISTA DR & MATHESON CRES,VANCOUVER,Casualty,2017,1
49.220122,-123.03239,CHAMPLAIN CRES & E 54TH AVE & TYNE ST,VANCOUVER,Casualty,2017,1
49.215644,-123.030279,CHAMPLAIN CRES & MAQUINNA DR & NAIRN AVE,VANCOUVER,Casualty,2017,1
49.27313,-123.077315,CHARLES ST & CLARK DR,VANCOUVER,Casualty,2017,1
49.273244,-123.03638,CHARLES ST & WINDERMERE ST,VANCOUVER,Casualty,2017,1
49.238312,-123.089192,CHESTER ST & E 35TH AVE,VANCOUVER,Casualty,2017,1
49.225434,-123.089402,CHESTER ST & E 49TH AVE,VANCOUVER,Casualty,2017,1
49.275305,-123.146217,CHESTNUT ST & WHYTE AVE,VANCOUVER,Casualty,2017,1
49.240409,-123.046128,CHEYENNE AVE & EARLES ST,VANCOUVER,Casualty,2017,1
49.292672,-123.139443,CHILCO ST & HARO ST,VANCOUVER,Casualty,2017,1
49.279462,-123.11004,CITADEL PARADE & DUNSMUIR ST & DUNSMUIR VIADUCT,VANCOUVER,Casualty,2017,1
49.207969,-123.0261,CITY EDGE PL & SE MARINE DR,VANCOUVER,Casualty,2017,1
49.238892,-123.055462,CLARENDON ST & E 34TH AVE,VANCOUVER,Casualty,2017,1
49.235903,-123.055493,CLARENDON ST & E 38TH AVE,VANCOUVER,Casualty,2017,1
49.233859,-123.055528,CLARENDON ST & E 40TH AVE,VANCOUVER,Casualty,2017,1
49.231787,-123.05522,CLARENDON ST & E 42ND AVE,VANCOUVER,Casualty,2017,1
49.224813,-123.056139,CLARENDON ST & E 49TH AVE,VANCOUVER,Casualty,2017,1
49.226867,-123.056019,CLARENDON ST & WAVERLEY AVE,VANCOUVER,Casualty,2017,1
49.257815,-123.076978,CLARK DR & E 14TH AVE & KNIGHT ST,VANCOUVER,Casualty,2017,1
49.256691,-123.077721,CLARK DR & E 15TH AVE,VANCOUVER,Casualty,2017,1
49.255337,-123.077868,CLARK DR & E 17TH AVE,VANCOUVER,Casualty,2017,1
49.267849,-123.07738,CLARK DR & E 3RD AVE,VANCOUVER,Casualty,2017,1
49.278555,-123.077227,CLARK DR & E GEORGIA ST,VANCOUVER,Casualty,2017,1
49.279468,-123.077195,CLARK DR & FRANCES ST,VANCOUVER,Casualty,2017,1
49.274941,-123.077297,CLARK DR & NAPIER ST,VANCOUVER,Casualty,2017,1
49.283966,-123.075796,CLARK DR & STEWART ST,VANCOUVER,Casualty,2017,1
49.239003,-123.035103,CLIVE AVE & MCHARDY ST,VANCOUVER,Casualty,2017,1
49.232947,-123.044505,COLLEGE ST & E 41ST AVE,VANCOUVER,Casualty,2017,1
49.230144,-123.182012,COLLINGWOOD ST & SW MARINE DR,VANCOUVER,Casualty,2017,1
49.249011,-123.181803,COLLINGWOOD ST & W 26TH AVE,VANCOUVER,Casualty,2017,1
49.240466,-123.181965,COLLINGWOOD ST & W 35TH AVE,VANCOUVER,Casualty,2017,1
49.250018,-123.175677,BALACLAVA ST & W KING EDWARD AVE,VANCOUVER,Casualty,2017,1
49.241518,-123.06014,BALDWIN ST & E 30TH AVE & E 32ND AVE,VANCOUVER,Casualty,2017,1
49.242353,-123.059161,BALDWIN ST & KINGSWAY,VANCOUVER,Casualty,2017,1
49.219618,-123.068477,BALMORAL ST & E 56TH AVE,VANCOUVER,Casualty,2017,1
49.272657,-123.159694,BALSAM ST & CORNWALL AVE,VANCOUVER,Casualty,2017,1
49.261149,-123.160145,BALSAM ST & W 12TH AVE,VANCOUVER,Casualty,2017,1
49.270012,-123.159792,BALSAM ST & W 2ND AVE,VANCOUVER,Casualty,2017,1
49.265688,-123.159947,BALSAM ST & W 7TH AVE,VANCOUVER,Casualty,2017,1
49.286515,-123.132055,BARCLAY ST & BROUGHTON ST,VANCOUVER,Casualty,2017,1
49.284639,-123.129096,BARCLAY ST & BUTE ST,VANCOUVER,Casualty,2017,1
49.288018,-123.13437,BARCLAY ST & CARDERO ST,VANCOUVER,Casualty,2017,1
49.283217,-123.126936,BARCLAY ST & THURLOW ST,VANCOUVER,Casualty,2017,1
49.208582,-123.145162,BARNARD ST & SW MARINE DR,VANCOUVER,Casualty,2017,1
49.229245,-123.030509,BATTISON ST & E 45TH AVE,VANCOUVER,Casualty,2017,1
49.271078,-123.170986,BAYSWATER ST & POINT GREY RD,VANCOUVER,Casualty,2017,1
49.268422,-123.171072,BAYSWATER ST & W 4TH AVE,VANCOUVER,Casualty,2017,1
49.27408,-123.130771,BEACH AVE & BEACH CRES & GRANVILLE BRIDGE & ROLSTON ST & SEYMOUR ST OFFRAMP,VANCOUVER,Casualty,2017,1
49.281576,-123.139518,BEACH AVE & BROUGHTON ST,VANCOUVER,Casualty,2017,1
49.286283,-123.14249,BEACH AVE & BURNABY ST,VANCOUVER,Casualty,2017,1
49.276325,-123.134146,BEACH AVE & BURRARD ST BRIDGE,VANCOUVER,Casualty,2017,1
49.279284,-123.137129,BEACH AVE & BUTE ST,VANCOUVER,Casualty,2017,1
49.28768,-123.142371,BEACH AVE & DAVIE ST,VANCOUVER,Casualty,2017,1
49.286911,-123.142346,BEACH AVE & DENMAN ST,VANCOUVER,Casualty,2017,1
49.27536,-123.132758,BEACH AVE & HORNBY ST,VANCOUVER,Casualty,2017,1
49.27473,-123.131812,BEACH AVE & HOWE ST,VANCOUVER,Casualty,2017,1
49.280513,-123.138363,BEACH AVE & JERVIS ST,VANCOUVER,Casualty,2017,1
49.290689,-123.146495,BEACH AVE & PARK LANE & STANLEY PARK DR,VANCOUVER,Casualty,2017,1
49.277593,-123.135424,BEACH AVE & THURLOW ST,VANCOUVER,Casualty,2017,1
49.271597,-123.126866,BEACH CRES & HOMER MEWS & HOMER ST,VANCOUVER,Casualty,2017,1
49.240092,-123.066598,BEATRICE ST & E 33RD AVE,VANCOUVER,Casualty,2017,1
49.230508,-123.066967,BEATRICE ST & E 43RD AVE,VANCOUVER,Casualty,2017,1
49.227625,-123.067033,BEATRICE ST & E 47TH AVE,VANCOUVER,Casualty,2017,1
49.225178,-123.067091,BEATRICE ST & E 49TH AVE,VANCOUVER,Casualty,2017,1
49.277588,-123.113963,BEATTY ST & ROBSON ST,VANCOUVER,Casualty,2017,1
49.273765,-123.213163,BELMONT AVE & LANGARA AVE,VANCOUVER,Casualty,2017,1
49.273585,-123.205692,BELMONT AVE & NW MARINE DR,VANCOUVER,Casualty,2017,1
49.220196,-123.057894,BERKELEY ST & E 54TH AVE,VANCOUVER,Casualty,2017,1
49.24333,-123.143762,BEVERLY CRES & MARGUERITE ST & W 32ND AVE,VANCOUVER,Casualty,2017,1
49.290467,-123.133879,BIDWELL ST & ROBSON ST,VANCOUVER,Casualty,2017,1
49.291606,-123.132114,BIDWELL ST & W GEORGIA ST,VANCOUVER,Casualty,2017,1
49.261623,-123.133793,BIRCH ST & W 11TH AVE,VANCOUVER,Casualty,2017,1
